district,neighborhood,condition,type,rooms,area_m2,lift,views,floor,prices
1,51,0,2,2,71,1,0,11,369000
1,45,0,2,4,136,1,0,7,745000
2,61,0,4,3,99,1,0,13,650000
1,45,0,4,3,99,1,0,13,650000
1,53,0,1,4,800,1,0,18,1700000
1,42,0,2,3,133,1,0,7,750000
1,53,0,2,3,385,0,0,18,1450000
7,30,0,2,3,75,1,1,19,230000
1,45,0,2,2,105,1,0,12,565000
7,37,0,2,1,62,1,0,0,390000
7,32,0,2,3,84,0,0,0,290000
4,62,0,2,4,101,1,0,7,525000
4,62,0,2,3,92,1,0,13,375000
4,62,0,2,3,88,1,0,11,365000
7,32,0,2,2,45,1,0,7,209000
1,53,0,2,1,59,1,0,0,199900
3,0,0,6,4,250,0,0,17,795000
1,12,0,2,3,85,1,0,7,389000
6,7,0,2,4,87,1,0,10,307000
3,36,0,2,3,76,1,0,11,269000
1,45,0,2,4,179,1,0,7,765000
1,42,0,2,4,149,1,0,10,710000
4,62,0,2,1,51,1,0,0,280000
9,14,0,2,4,152,1,0,10,695000
1,12,0,2,3,84,1,0,0,359000
9,20,0,2,3,92,1,0,18,598000
1,51,0,2,3,75,1,0,11,365000
4,62,0,2,1,49,1,0,7,315000
1,12,0,2,2,100,1,0,12,535000
2,21,0,2,5,260,1,0,7,1050000
3,0,0,2,3,70,1,1,0,239000
4,8,0,2,4,400,1,0,0,1790000
0,17,0,2,1,111,1,0,0,1150000
1,42,0,2,2,149,1,0,13,1900000
7,32,0,2,4,90,1,1,14,345000
1,42,0,2,3,76,1,0,12,460000
1,45,0,2,3,140,1,0,0,2500000
9,14,0,2,4,197,1,0,11,1570000
8,6,0,4,2,100,0,0,7,385000
9,14,0,2,3,128,1,0,11,759000
6,7,0,2,3,65,1,0,13,225000
0,41,0,2,2,95,1,0,12,370000
8,49,0,2,3,81,1,0,7,230000
1,53,0,4,3,89,1,0,10,475000
0,43,0,2,1,33,0,0,18,132000
3,5,0,2,3,118,1,0,7,395000
9,40,0,4,4,131,1,0,11,660000
4,8,0,2,2,65,1,0,12,450000
9,14,0,2,5,332,1,0,12,1395000
1,45,0,2,2,86,1,1,11,440000
1,45,0,2,3,100,1,0,11,640000
1,42,0,2,3,123,1,0,12,850000
0,17,0,2,1,40,0,0,7,179000
1,42,0,2,3,135,1,0,7,890000
1,45,0,1,3,158,1,0,1,1495000
1,51,0,2,4,180,1,0,15,795000
3,13,0,4,1,66,1,0,7,220000
9,14,0,2,4,208,1,0,0,1095000
1,45,0,4,3,227,1,0,16,1995000
1,53,0,2,1,85,1,0,18,240000
4,8,0,3,4,190,0,0,17,860000
2,29,0,2,2,60,0,0,0,160000
8,18,0,2,3,60,1,0,10,220000
0,41,0,2,2,96,0,0,0,375000
8,18,0,2,3,92,1,0,13,375000
1,53,0,4,4,180,1,0,16,695000
4,50,0,2,4,78,1,1,18,255000
0,17,0,2,2,64,1,0,7,200000
4,62,0,2,4,143,1,0,10,1010000
9,40,0,2,3,207,1,1,18,755000
0,26,0,1,5,175,1,0,10,990000
8,18,0,0,4,480,0,0,17,1450000
4,62,0,2,2,72,1,0,7,495000
1,45,0,2,3,265,1,0,0,2300000
9,14,0,2,4,132,1,0,13,780000
1,42,0,2,2,105,1,0,0,699000
4,62,0,2,2,60,1,0,18,358000
8,19,0,2,3,72,1,0,0,279000
9,64,0,0,5,340,0,0,17,2650000
0,26,0,2,1,102,0,0,7,386000
5,9,0,2,3,72,0,0,7,179500
1,51,0,2,4,115,1,0,11,560000
7,30,0,2,3,67,1,0,10,205000
7,10,0,2,3,73,1,0,0,218000
7,30,0,0,4,170,0,0,17,453000
9,14,0,2,4,177,1,0,11,997000
1,45,0,4,3,200,1,0,12,2100000
4,62,0,2,3,85,1,1,19,320000
0,41,0,2,2,150,1,0,18,495000
4,62,0,2,3,55,1,0,12,259000
0,41,0,2,3,60,1,0,7,160000
9,14,0,2,4,155,1,0,13,1100000
1,42,0,2,3,135,1,0,0,639000
1,12,0,2,4,112,1,0,10,560000
3,31,0,2,3,69,1,0,7,204000
