district,neighborhood,condition,type,rooms,area_m2,lift,views,floor,prices
Eixample,la Sagrada Família,good condition,Flat,3,85,Yes,exterior, floor 2,339000
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,5,160,Yes,exterior, floor 4,850000
Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,2,120,Yes,exterior, floor 3,575000
Les Corts,Pedralbes,good condition,Flat,4,206,Yes,exterior, floor 11,1250000
Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,good condition,Flat,4,232,Yes,exterior, floor 2,1175000
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,4,203,Yes,exterior, floor 1,1095000
Eixample,la Dreta de l'Eixample,good condition,Flat,1,59,Yes,exterior, floor 4,480000
Eixample,Sant Antoni,good condition,Penthouse,4,167,Yes,exterior, floor 6,695000
Les Corts,Pedralbes,good condition,Flat,5,232,Yes,exterior, floor 2,1660000
Eixample,la Dreta de l'Eixample,good condition,Duplex,4,800,Yes,exterior,ground floor,1700000
Ciutat Vella,Sant Pere - Santa Caterina i la Ribera,good condition,Flat,2,86,No,exterior,ground floor,298000
Sarrià-Sant Gervasi,el Putxet i el Farró,good condition,Flat,4,105,Yes,exterior, floor 2,425000
Ciutat Vella,el Raval,good condition,Flat,3,145,Yes,exterior, floor 1,680000
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,5,155,Yes,exterior, floor 4,875000
Eixample,la Dreta de l'Eixample,good condition,Flat,3,148,Yes,exterior, floor 3,995000
Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,4,102,Yes,exterior, floor 3,440000
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,5,250,Yes,exterior, floor 2,1100000
Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,2,101,Yes,exterior, floor 3,625000
Les Corts,la Maternitat i Sant Ramon,good condition,Flat,3,100,Yes,exterior, floor 2,385000
Ciutat Vella,el Barri Gòtic,good condition,Penthouse,2,88,Yes,exterior, floor 4,710000
Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,1,77,Yes,exterior, floor 1,260000
Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,3,87,Yes,exterior, floor 5,399000
Sant Martí,el Clot,good condition,Flat,1,60,Yes,exterior, floor 1,179000
Sarrià-Sant Gervasi,Vallvidrera - el Tibidabo i les Planes,good condition,Detached,4,243,No,exterior,Multiple,650000
Eixample,el Fort Pienc,good condition,Flat,3,118,Yes,exterior, floor 2,445000
Sarrià-Sant Gervasi,el Putxet i el Farró,good condition,Semi-detached,5,311,No,exterior,Multiple,960000
Sarrià-Sant Gervasi,les Tres Torres,good condition,Flat,3,118,Yes,exterior, floor 2,795000
Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,3,72,Yes,exterior, floor 5,450000
Ciutat Vella,Sant Pere - Santa Caterina i la Ribera,good condition,Flat,3,68,No,exterior, floor 3,233150
Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,3,87,Yes,exterior, floor 5,365000
Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,2,90,Yes,exterior, floor 1,690000
